ssid,bssid,index
nttu,80:80:2c:37:11:5c,227
ap-nttu,80:80:2c:37:1f:98,228
ap2-nttu,80:80:2c:37:1f:99,229
eduroam,80:80:2c:37:1f:9a,230
nttu,80:80:2c:37:1f:9c,231
ap-nttu,80:80:2c:37:21:58,232
ap2-nttu,80:80:2c:37:21:59,233
eduroam,80:80:2c:37:21:5a,234
nttu,80:80:2c:37:21:5c,235
ap-nttu,80:80:2c:37:36:78,236
ap2-nttu,80:80:2c:37:36:79,237
eduroam,80:80:2c:37:36:7a,238
nttu,80:80:2c:37:36:7c,239
ap-nttu,90:6c:ac:03:5e:bb,240
ap-nttu,90:6c:ac:2c:74:e9,241
ap-nttu,90:6c:ac:2c:74:fb,242
ap-nttu,90:6c:ac:2c:75:9d,243
ap-nttu,90:6c:ac:2c:88:87,244
ap-nttu,90:6c:ac:2c:8c:1d,245
ap-nttu,90:6c:ac:2c:8c:53,246
ap-nttu,90:6c:ac:2c:98:87,247
ap-nttu,90:6c:ac:2c:9e:03,248
ap-nttu,90:6c:ac:2c:9e:0b,249
ap-nttu,90:6c:ac:2c:9e:27,250
ap-nttu,90:6c:ac:2c:9e:c9,251
ap-nttu,90:6c:ac:2c:9f:e9,252
ap-nttu,90:6c:ac:2c:9f:f1,253
ap-nttu,90:6c:ac:5d:c2:c3,254
ap-nttu,90:6c:ac:7d:d7:79,255
ap-nttu,90:6c:ac:7e:74:8d,256
ap-nttu,90:6c:ac:7e:7a:2d,257
ap-nttu,90:6c:ac:92:87:5d,258
ap-nttu,94:ff:3c:bf:ac:30,259
ap2-nttu,94:ff:3c:bf:ac:31,260
eduroam,94:ff:3c:bf:ac:32,261
nttu,94:ff:3c:bf:ac:33,262
nttu,94:ff:3c:bf:ac:34,263
ap-nttu,94:ff:3c:bf:c3:f0,264
ap2-nttu,94:ff:3c:bf:c3:f1,265
eduroam,94:ff:3c:bf:c3:f2,266
nttu,94:ff:3c:bf:c3:f4,267
ap-nttu,94:ff:3c:bf:ce:70,268
ap2-nttu,94:ff:3c:bf:ce:71,269
eduroam,94:ff:3c:bf:ce:72,270
nttu,94:ff:3c:bf:ce:74,271
ap-nttu,94:ff:3c:bf:f3:30,272
ap2-nttu,94:ff:3c:bf:f3:31,273
eduroam,94:ff:3c:bf:f3:32,274
nttu,94:ff:3c:bf:f3:33,275
nttu,94:ff:3c:bf:f3:34,276
ap-nttu,94:ff:3c:bf:f3:b0,277
ap2-nttu,94:ff:3c:bf:f3:b1,278
eduroam,94:ff:3c:bf:f3:b2,279
nttu,94:ff:3c:bf:f3:b4,280
ap-nttu,94:ff:3c:bf:f4:90,281
ap2-nttu,94:ff:3c:bf:f4:91,282
eduroam,94:ff:3c:bf:f4:92,283
nttu,94:ff:3c:bf:f4:94,284
ap-nttu,94:ff:3c:c0:25:50,285
ap2-nttu,94:ff:3c:c0:25:51,286
eduroam,94:ff:3c:c0:25:52,287
nttu,94:ff:3c:c0:25:53,288
nttu,94:ff:3c:c0:25:54,289
ap-nttu,94:ff:3c:c0:75:d0,290
ap2-nttu,94:ff:3c:c0:75:d1,291
eduroam,94:ff:3c:c0:75:d2,292
nttu,94:ff:3c:c0:75:d3,293
nttu,94:ff:3c:c0:75:d4,294
ap-nttu,94:ff:3c:c0:7a:30,295
ap2-nttu,94:ff:3c:c0:7a:31,296
eduroam,94:ff:3c:c0:7a:32,297
nttu,94:ff:3c:c0:7a:34,298
ap-nttu,94:ff:3c:c0:7f:f0,299
ap2-nttu,94:ff:3c:c0:7f:f1,300
eduroam,94:ff:3c:c0:7f:f2,301
nttu,94:ff:3c:c0:7f:f4,302
ap-nttu,94:ff:3c:c0:8f:b0,303
ap2-nttu,94:ff:3c:c0:8f:b1,304
eduroam,94:ff:3c:c0:8f:b2,305
nttu,94:ff:3c:c0:8f:b4,306
ap-nttu,94:ff:3c:c0:92:b0,307
ap2-nttu,94:ff:3c:c0:92:b1,308
eduroam,94:ff:3c:c0:92:b2,309
nttu,94:ff:3c:c0:92:b3,310
nttu,94:ff:3c:c0:92:b4,311
ap-nttu,94:ff:3c:c0:95:f0,312
ap2-nttu,94:ff:3c:c0:95:f1,313
